年份,月份,项目,金额（元）,金额（万元）
2023,8月,销售费用,913878.59,91.3879
2023,8月,管理费用,728612.95,72.8613
2023,8月,研发费用,1812111.27,181.2111
2023,8月,财务费用,35115.64,3.5116
2023,8月,其他收益,764477.94,76.4478
2023,9月,营业收入,13453000.18,1345.3
2023,9月,营业成本,8129282.29,812.9282
2023,9月,税金及附加,80558.08,8.0558
2023,9月,销售费用,870738.24,87.0738
2023,9月,管理费用,991989.62,99.199
2023,9月,研发费用,1779572.32,177.9572
2023,9月,财务费用,-967.14,-0.0967
2023,9月,其他收益,403107.22,40.3107
2023,10月,营业收入,8582921.74,858.2922
2023,10月,营业成本,4345457.13,434.5457
2023,10月,税金及附加,142967.96,14.2968
2023,10月,销售费用,2326787.14,232.6787
2023,10月,管理费用,710510.94,71.0511
2023,10月,研发费用,984478.29,98.4478
2023,10月,财务费用,10711.82,1.0712
2023,10月,其他收益,706.22,0.0706
2023,11月,营业收入,7792649.18,779.2649
2023,11月,营业成本,6080849.67,608.085
2023,11月,税金及附加,91219.97,9.122
2023,11月,销售费用,1030488.06,103.0488
2023,11月,管理费用,807880.9,80.7881
2023,11月,研发费用,957699.34,95.7699
2023,11月,财务费用,24764.81,2.4765
2023,11月,其他收益,1179135.91,117.9136
2023,11月,营业外收入,400,0.04
2023,12月,营业收入,35260361.08,3526.0361
2023,12月,营业成本,24312534.56,2431.2535
2023,12月,税金及附加,156659.46,15.6659
2023,12月,销售费用,1431032.21,143.1032
2023,12月,管理费用,1490823.11,149.0823
2023,12月,研发费用,1183898.47,118.3898
2023,12月,财务费用,35358.37,3.5358
2023,12月,其他收益,426850.78,42.6851
2023,12月,营业外收入,2000.59,0.2001
2024,1月,营业收入,5872149.76,587.215
2024,1月,营业成本,2737369.93,273.737
2024,1月,税金及附加,60504.8,6.0505
2024,1月,销售费用,1194867.3,119.4867
2024,1月,管理费用,939058.4,93.9058
2024,1月,研发费用,1654510.25,165.451
2024,1月,财务费用,12818.65,1.2819
2024,1月,其他收益,675681.57,67.5682
2024,1月,营业外收入,400.22,0.04
2024,2月,营业收入,1687473.13,168.7473
2024,2月,营业成本,506297.88,50.6298
2024,2月,税金及附加,89798.43,8.9798
2024,2月,销售费用,812988,81.2988
2024,2月,管理费用,1673275.93,167.3276
2024,2月,研发费用,1819654.17,181.9654
2024,2月,财务费用,8965.67,0.8966
2024,2月,营业外收入,0.14,0.0
2024,3月,营业收入,10002230.26,1000.223
2024,3月,营业成本,5847667.47,584.7667
2024,3月,税金及附加,54171.86,5.4172
2024,3月,销售费用,1066848.78,106.6849
2024,3月,管理费用,1187676.88,118.7677
2024,3月,研发费用,1784249.2,178.4249
2024,3月,财务费用,14262.64,1.4263
2024,3月,其他收益,562891.07,56.2891
2024,3月,营业外收入,0.09,0.0
2024,4月,营业收入,5205052.1,520.5052
2024,4月,营业成本,2523797.75,252.3798
2024,4月,税金及附加,81876.04,8.1876
2024,4月,销售费用,780544.08,78.0544
2024,4月,管理费用,1118450.25,111.845
2024,4月,研发费用,1209989.57,120.999
2024,4月,财务费用,7271.22,0.7271
2024,4月,其他收益,205501.74,20.5502
2024,4月,营业外收入,400.12,0.04
2024,4月,营业外支出,20000,2.0
2024,5月,营业收入,8108403.12,810.8403
2024,5月,营业成本,4955108.52,495.5109
2024,5月,税金及附加,75333.67,7.5334
2024,5月,销售费用,715050.88,71.5051
2024,5月,管理费用,939181.98,93.9182
2024,5月,研发费用,1418636.62,141.8637
2024,5月,财务费用,9591.55,0.9592
2024,5月,其他收益,383855.42,38.3855
2024,5月,营业外收入,7,0.0007
2024,5月,营业外支出,0.02,0.0
2024,6月,营业收入,9054381.32,905.4381
2024,6月,营业成本,6209643.21,620.9643
2024,6月,税金及附加,142385.87,14.2386
2024,6月,销售费用,1343122.55,134.3123
2024,6月,管理费用,1138328.85,113.8329
2024,6月,研发费用,1398409.11,139.8409
2024,6月,财务费用,52006.02,5.2006
2024,6月,其他收益,385072.04,38.5072
2024,6月,营业外收入,2.27,0.0002
2024,7月,营业收入,3608087.57,360.8088
2024,7月,营业成本,1477086.72,147.7087
2024,7月,税金及附加,74559.68,7.456
2024,7月,销售费用,741417.7,74.1418
2024,7月,管理费用,1131173.49,113.1173
2024,7月,研发费用,1930716.44,193.0716
2024,7月,财务费用,10269.68,1.027
2024,7月,其他收益,692948.6,69.2949
2024,7月,营业外收入,0.21,0.0
2024,8月,营业收入,6589438.1,658.9438
2024,8月,营业成本,2395514.92,239.5515
2024,8月,税金及附加,76961.09,7.6961
2024,8月,销售费用,659162.29,65.9162
2024,8月,管理费用,911222.81,91.1223
2024,8月,研发费用,1610703.89,161.0704
2024,8月,财务费用,25308.58,2.5309
2024,8月,其他收益,320411.38,32.0411
2024,8月,营业外收入,10.01,0.001
2024,9月,营业收入,8918973.85,891.8974
2024,9月,营业成本,4689271.86,468.9272
2024,9月,税金及附加,165260.38,16.526
2024,9月,销售费用,712758.5,71.2759
2024,9月,管理费用,1375308.72,137.5309
2024,9月,研发费用,1104162.12,110.4162
2024,9月,财务费用,26175.15,2.6175
2024,9月,其他收益,395680.73,39.5681
2024,9月,营业外收入,10,0.001
2024,9月,营业外支出,1000,0.1
2024,10月,营业收入,5600942.02,560.0942
2024,10月,营业成本,1646326.98,164.6327
2024,10月,税金及附加,79279.13,7.9279
2024,10月,销售费用,1989063.99,198.9064
2024,10月,管理费用,1176784.08,117.6784
2024,10月,研发费用,2711304.16,271.1304
2024,10月,财务费用,9069.86,0.907
2024,10月,营业外收入,10,0.001
2024,11月,营业收入,12783655.7,1278.3656
2024,11月,营业成本,8246774.37,824.6774
2024,11月,税金及附加,102050.71,10.2051
2024,11月,销售费用,1210031.02,121.0031
2024,11月,管理费用,1205348.39,120.5348
2024,11月,研发费用,2760087.36,276.0087
2024,11月,财务费用,8211.42,0.8211
2024,11月,营业外支出,662.07,0.0662
2024,12月,营业收入,25412107.48,2541.2107
2024,12月,营业成本,15363989.96,1536.399
2024,12月,税金及附加,279913.8,27.9914
2024,12月,销售费用,1443587.33,144.3587
2024,12月,管理费用,2911386.86,291.1387
2024,12月,研发费用,1888916.3,188.8916
2024,12月,财务费用,37713.77,3.7714
2024,12月,其他收益,1258407.1,125.8407
2024,12月,营业外收入,150,0.015
2024,12月,营业外支出,44851.89,4.4852
2025,1月,营业收入,2150751.17,215.0751
2025,1月,营业成本,1237841.54,123.7842
2025,1月,税金及附加,28712.69,2.8713
2025,1月,销售费用,957747.04,95.7747
2025,1月,管理费用,917280.24,91.728
2025,1月,研发费用,2641788.75,264.1789
2025,1月,财务费用,7994.73,0.7995
2025,1月,其他收益,1428480.69,142.8481
2025,2月,营业收入,3957607.63,395.7608
2025,2月,营业成本,2191828.35,219.1828
2025,2月,税金及附加,58148.59,5.8149
2025,2月,销售费用,862331.56,86.2332
2025,2月,管理费用,1194915.84,119.4916
2025,2月,研发费用,2540295.92,254.0296
2025,2月,财务费用,10314.63,1.0315
2025,2月,其他收益,137942.28,13.7942
2025,2月,营业外收入,700,0.07
2025,3月,营业收入,7556963.55,755.6964
2025,3月,营业成本,2389312.16,238.9312
2025,3月,税金及附加,73252.45,7.3252
2025,3月,销售费用,1306088.73,130.6089
2025,3月,管理费用,1250961.3,125.0961
2025,3月,研发费用,1708945.07,170.8945
2025,3月,财务费用,58955.2,5.8955
2025,3月,其他收益,431548.13,43.1548
2025,3月,营业外收入,410,0.041
2025,4月,营业收入,13064925.76,1306.4926
2025,4月,营业成本,6577558.19,657.7558
2025,4月,税金及附加,62315.02,6.2315
2025,4月,销售费用,641296.58,64.1297
2025,4月,管理费用,842468.11,84.2468
2025,4月,研发费用,1556879.37,155.6879
2025,4月,财务费用,9262.26,0.9262
2025,4月,其他收益,243610.04,24.361
2025,4月,营业外收入,-290,-0.029
2025,5月,营业收入,5326470.84,532.6471
2025,5月,营业成本,2243766.87,224.3767
2025,5月,税金及附加,185308.93,18.5309
2025,5月,销售费用,967778.56,96.7779
2025,5月,管理费用,1662752.91,166.2753
2025,5月,研发费用,2048370.47,204.837
2025,5月,财务费用,9318.4,0.9318
2025,5月,其他收益,251266.78,25.1267
2025,5月,营业外支出,500,0.05
2025,6月,营业收入,9878785.01,987.8785
2025,6月,营业成本,6221121.44,622.1121
2025,6月,税金及附加,83255.22,8.3255
2025,6月,销售费用,833872.35,83.3872
2025,6月,管理费用,881878.51,88.1879
2025,6月,研发费用,2425286.51,242.5287
2025,6月,财务费用,48864.28,4.8864
2025,6月,其他收益,841332.1,84.1332
2025,7月,营业收入,9112729.87,911.273
2025,7月,营业成本,5277155.4,527.7155
2025,7月,税金及附加,319029.39,31.9029
2025,7月,销售费用,811155.59,81.1156
2025,7月,管理费用,620102.24,62.0102
2025,7月,研发费用,2285506.03,228.5506
2025,7月,财务费用,5538.53,0.5539
2025,7月,其他收益,410625.86,41.0626
2025,7月,营业外支出,434034.46,43.4034
2025,8月,营业收入,5131263.25,513.1263
2025,8月,营业成本,1324141.45,132.4141
2025,8月,税金及附加,93045.57,9.3046
2025,8月,销售费用,673174.45,67.3174
2025,8月,管理费用,625295.51,62.5296
2025,8月,研发费用,1693434.45,169.3434
2025,8月,财务费用,27593.35,2.7593
2025,8月,其他收益,472326.72,47.2327
2025,9月,营业收入,15370236.36,1537.0236
2025,9月,营业成本,9544516.1,954.4516
2025,9月,税金及附加,121727.12,12.1727
2025,9月,销售费用,1677241.02,167.7241
2025,9月,管理费用,1956600.23,195.66
2025,9月,研发费用,2029821.9,202.9822
2025,9月,财务费用,21271.43,2.1271
2025,9月,其他收益,289236.9,28.9237
2025,10月,营业收入,9945816.88,994.5817
2025,10月,营业成本,5237058.36,523.7058
2025,10月,税金及附加,55906.84,5.5907
2025,10月,销售费用,1200165.01,120.0165
2025,10月,管理费用,926692.65,92.6693
2025,10月,研发费用,1221534.98,122.1535
2025,10月,财务费用,5786.88,0.5787
2025,10月,其他收益,647558.76,64.7559
2025,11月,营业收入,26854647.27,2685.4647
2025,11月,营业成本,17079451.88,1707.9452
2025,11月,税金及附加,206950.53,20.6951
2025,11月,销售费用,2075976.9,207.5977
2025,11月,管理费用,893588.65,89.3589
2025,11月,研发费用,3884310.5,388.4311
2025,11月,财务费用,5230.55,0.5231
2025,11月,其他收益,161632.08,16.1632
2025,11月,营业外支出,4800,0.48
2025,12月,营业收入,63463548.38,6346.3548
2025,12月,营业成本,43243289.12,4324.3289
2025,12月,税金及附加,351593.15,35.1593
2025,12月,销售费用,1236823.38,123.6823
2025,12月,管理费用,898632.01,89.8632
2025,12月,研发费用,1179401.99,117.9402
2025,12月,财务费用,44452.24,4.4452
2025,12月,其他收益,1018424.47,101.8424
2025,12月,营业外支出,477112.15,47.7112
2023,1月,营业利润,-1847579.91,-184.758
2023,1月,利润总额,-1847579.91,-184.758
2023,2月,营业利润,-1823066.18,-182.3066
2023,2月,利润总额,-1823066.18,-182.3066
2023,3月,营业利润,-664489.16,-66.4489
2023,3月,利润总额,-664489.16,-66.4489
2023,4月,营业利润,-61389.64,-6.139
2023,4月,利润总额,-61389.64,-6.139
2023,5月,营业利润,3964890.32,396.489
2023,5月,利润总额,3964890.32,396.489
2023,6月,营业利润,5215714.65,521.5715
2023,6月,利润总额,5215714.65,521.5715
2023,7月,营业利润,-2747470.98,-274.7471
2023,7月,利润总额,-2747470.98,-274.7471
2023,8月,营业利润,-1510149.97,-151.015
2023,8月,利润总额,-1510149.97,-151.015
2023,9月,营业利润,2004933.99,200.4934
2023,9月,利润总额,2004933.99,200.4934
2023,10月,营业利润,62714.68,6.2715
2023,10月,利润总额,62714.68,6.2715
2023,11月,营业利润,-21117.66,-2.1118
2023,11月,利润总额,-20717.66,-2.0718
2023,12月,营业利润,7076905.68,707.6906
2023,12月,利润总额,7078906.27,707.8906
2024,1月,营业利润,-51298.0,-5.1298
2024,1月,利润总额,-50897.78,-5.0898
2024,2月,营业利润,-3223506.95,-322.3507
2024,2月,利润总额,-3223506.81,-322.3507
2024,3月,营业利润,610244.5,61.0245
2024,3月,利润总额,610244.59,61.0245
2024,4月,营业利润,-311375.07,-31.1375
2024,4月,利润总额,-330974.95,-33.0975
2024,5月,营业利润,379355.32,37.9355
2024,5月,利润总额,379362.3,37.9362
2024,6月,营业利润,-844442.25,-84.4442
2024,6月,利润总额,-844439.98,-84.444
2024,7月,营业利润,-1064187.54,-106.4188
2024,7月,利润总额,-1064187.33,-106.4187
2024,8月,营业利润,1230975.9,123.0976
2024,8月,利润总额,1230985.91,123.0986
2024,9月,营业利润,1241717.85,124.1718
2024,9月,利润总额,1240727.85,124.0728
2024,10月,营业利润,-2010886.18,-201.0886
2024,10月,利润总额,-2010876.18,-201.0876
2024,11月,营业利润,-748847.57,-74.8848
2024,11月,利润总额,-749509.64,-74.951
2024,12月,营业利润,4745006.56,474.5007
2024,12月,利润总额,4700304.67,470.0305
2025,1月,营业利润,-2212133.13,-221.2133
2025,1月,利润总额,-2212133.13,-221.2133
2025,2月,营业利润,-2762284.98,-276.2285
2025,2月,利润总额,-2761584.98,-276.1585
2025,3月,营业利润,1200996.77,120.0997
2025,3月,利润总额,1201406.77,120.1407
2025,4月,营业利润,3618756.27,361.8756
2025,4月,利润总额,3618466.27,361.8466
2025,5月,营业利润,-1539558.52,-153.9559
2025,5月,利润总额,-1540058.52,-154.0059
2025,6月,营业利润,225838.8,22.5839
2025,6月,利润总额,225838.8,22.5839
2025,7月,营业利润,204868.55,20.4869
2025,7月,利润总额,-229165.91,-22.9166
2025,8月,营业利润,1166905.19,116.6905
2025,8月,利润总额,1166905.19,116.6905
2025,9月,营业利润,308295.46,30.8295
2025,9月,利润总额,308295.46,30.8295
2025,10月,营业利润,1946230.92,194.6231
2025,10月,利润总额,1946230.92,194.6231
2025,11月,营业利润,2870770.34,287.077
2025,11月,利润总额,2865970.34,286.597
2025,12月,营业利润,17527780.96,1752.7781
2025,12月,利润总额,17050668.81,1705.0669
